"G1A01","On which of the following bands is a General Class license holder granted all amateur frequency privileges?","","160, 60, 30, 17, 12, and 10 meters","60, 20, 17, and 12 meters","160, 80, 40, and 10 meters","160, 30, 17, 15, 12, and 10 meters"
"G1A02","On which of the following bands is phone operation prohibited?","","30 meters","160 meters","17 meters","12 meters"
"G1A03","On which of the following bands is image transmission prohibited? ","","30 meters","160 meters","20 meters","12 meters"
"G1A04","Which of the following amateur bands is restricted to communication on only specific channels, rather than frequency ranges?","","60 meters","11 meters","12 meters","30 meters"
"G1A05","Which of the following frequencies is in the General Class portion of the 40-meter band?","","7.250 MHz","7.500 MHz","40.200 MHz","40.500 MHz"
"G1A06","Which of the following frequencies is within the General Class portion of the 75-meter phone band?","","3900 kHz","1875 kHz","3750 kHz","4005 kHz"
"G1A07","Which of the following frequencies is within the General Class portion of the 20-meter phone band?","","14305 kHz","14005 kHz","14105 kHz","14405 kHz"
"G1A08","Which of the following frequencies is within the General Class portion of the 80-meter band?","","3560 kHz","1855 kHz","2560 kHz","3650 kHz"
"G1A09","Which of the following frequencies is within the General Class portion of the 15-meter band?","","21300 kHz","14250 kHz","18155 kHz","24900 kHz"
"G1A10","Which of the following frequencies is available to a control operator holding a General Class license?","","All of these choices are correct","28.020 MHz","28.350 MHz","28.550 MHz"
"G1A11","When General Class licensees are not permitted to use the entire voice portion of a particular band, which portion of the voice segment is generally available to them? ","","The upper frequency end","The lower frequency end","The lower frequency end on frequencies below 7.3 MHz and the upper end on frequencies above 14.150 MHz","The upper frequency end on frequencies below 7.3 MHz and the lower end on frequencies above 14.150 MHz"
"G1A12","Which of the following applies when the FCC rules designate the Amateur Service as a secondary user on a band?","","Amateur stations are allowed to use the band only if they do not cause harmful interference to primary users","Amateur stations must record the call sign of the primary service station before operating on a frequency assigned to that station ","Amateur stations are allowed to use the band only during emergencies","Amateur stations may only operate during specific hours of the day, while primary users are permitted 24 hour use of the band"
"G1A13","What is the appropriate action if, when operating on either the 30-meter or 60-meter bands, a station in the primary service interferes with your contact? ","","Move to a clear frequency or stop transmitting","Notify the FCCs regional Engineer in Charge of the interference ","Increase your transmitter's power to overcome the interference ","Attempt to contact the station and request that it stop the interference "
"G1A14","In what ITU region is operation in the 7.175 to 7.300 MHz band permitted for a control operator holding an FCC issued General Class license?","","Region 2","Region 1","Region 3","All three regions"
"G1B01","What is the maximum height above ground to which an antenna structure may be erected without requiring notification to the FAA and registration with the FCC, provided it is not at or near a public use airport?","","200 feet","50 feet","100 feet","300 feet"
"G1B02","With which of the following conditions must beacon stations comply?","","There must be no more than one beacon signal transmitting in the same band from the same station location","A beacon station may not use automatic control","The frequency must be coordinated with the National Beacon Organization","The frequency must be posted on the Internet or published in a national periodical"
"G1B03","Which of the following is a purpose of a beacon station as identified in the FCC rules?","","Observation of propagation and reception","Automatic identification of repeaters","Transmission of bulletins of general interest to Amateur Radio licensees","Identifying net frequencies"
"G1B04","Which of the following must be true before amateur stations may provide communications to broadcasters for dissemination to the public?","","The communications must directly relate to the immediate safety of human life or protection of property and there must be no other means of communication reasonably available before or at the time of the event","The communications must be approved by a local emergency preparedness official and conducted on officially designated frequencies","The FCC must have declared a state of emergency","All of these choices are correct"
"G1B05","When may music be transmitted by an amateur station?","","When it is an incidental part of a manned space craft retransmission","At any time, as long as it produces no spurious emissions","When it is unintentionally transmitted from the background at the transmitter","When it is transmitted on frequencies above 1215 MHz"
"G1B06","When is an amateur station permitted to transmit secret codes?","","To control a space station","During a declared communications emergency","Only when the information is of a routine, personal nature","Only with Special Temporary Authorization from the FCC"
"G1B07","What are the restrictions on the use of abbreviations or procedural signals in the Amateur Service?","","They may be used if they do not obscure the meaning of a message","Only "Q" signals are permitted","They are not permitted","Only "10 codes" are permitted"
"G1B08","When choosing a transmitting frequency, what should you do to comply with good amateur practice?","","All of these choices are correct","Insure that the frequency and mode selected are within your license class privileges ","Follow generally accepted band plans agreed to by the Amateur Radio community","Monitor the frequency before transmitting"
"G1B09","When may an amateur station transmit communications in which the licensee or control operator has a pecuniary (monetary) interest?","","When other amateurs are being notified of the sale of apparatus normally used in an amateur station and such activity is not done on a regular basis","Only when there is no other means of communications readily available","When other amateurs are being notified of the sale of any item with a monetary value less than $200 and such activity is not done on a regular basis","Never"
"G1B10","What is the power limit for beacon stations?","","100 watts PEP output","10 watts PEP output","20 watts PEP output","200 watts PEP output"
"G1B11","How does the FCC require an amateur station to be operated in all respects not specifically covered by the Part 97 rules?","","In conformance with good engineering and good amateur practice","In conformance with the rules of the IARU","In conformance with Amateur Radio custom","All of these choices are correct "
"G1B12","Who or what determines "good engineering and good amateur practice" as applied to the operation of an amateur station in all respects not covered by the Part 97 rules?","","The FCC","The Control Operator","The IEEE","The ITU"
"G1C01","What is the maximum transmitting power an amateur station may use on 10.140 MHz?","","200 watts PEP output","1000 watts PEP output","1500 watts PEP output","2000 watts PEP output"
"G1C02","What is the maximum transmitting power an amateur station may use on the 12-meter band?","","1500 watts PEP output","50 watts PEP output","200 watts PEP output","An effective radiated power equivalent to 100 watts from a half-wave dipole"
"G1C03","What is the maximum bandwidth permitted by FCC rules for Amateur Radio stations transmitting on USB frequencies in the 60-meter band?","","2.8 kHz","5.6 kHz","1.8 kHz","3 kHz "
"G1C04","Which of the following limitations apply to transmitter power on every amateur band?","","Only the minimum power necessary to carry out the desired communications should be used","Power must be limited to 200 watts when transmitting between 14.100 MHz and 14.150 MHz","Power should be limited as necessary to avoid interference to another radio service on the frequency","Effective radiated power cannot exceed 1500 watts"
"G1C05","Which of the following is a limitation on transmitter power on the 28 MHz band for a General Class control operator?","","1500 watts PEP output","100 watts PEP output","1000 watts PEP output","2000 watts PEP output"
"G1C06","Which of the following is a limitation on transmitter power on the 1.8 MHz band?","","1500 watts PEP output","200 watts PEP output","1000 watts PEP output","1200 watts PEP output"
"G1C07","What is the maximum symbol rate permitted for RTTY or data emission transmission on the 20-meter band?","","300 baud","56 kilobaud","19.6 kilobaud","1200 baud"
"G1C08","What is the maximum symbol rate permitted for RTTY or data emission transmitted at frequencies below 28 MHz? ","","300 baud ","56 kilobaud ","19.6 kilobaud ","1200 baud "
"G1C09","What is the maximum symbol rate permitted for RTTY or data emission transmitted on the 1.25-meter and 70-centimeter bands?","","56 kilobaud ","19.6 kilobaud ","1200 baud ","300 baud "
